variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_fs,480,4,120,1,sub_3,196073,24174,1.1508,0.834,13.6204,0.017,14656,312.88,0.0895,1
hier_fs,480,4,120,1,glue,10109,1772,0.2269,0.3063,0.7615,0.0117,14656,35.93,0.0895,1
hier_fs,480,4,120,2,sub_0,196073,24174,1.1508,0.8209,13.5288,0.0144,14656,312.18,0.0975,1
hier_fs,480,4,120,2,sub_1,196073,24174,1.1508,0.5926,13.641,0.0142,14656,312.75,0.0975,1
hier_fs,480,4,120,2,sub_2,196073,24174,1.1508,0.7874,13.5531,0.0215,14656,312.62,0.0975,1
hier_fs,480,4,120,2,sub_3,196073,24174,1.1508,0.5836,13.316,0.0214,14656,312.52,0.0975,1
hier_fs,480,4,120,2,glue,10109,1772,0.2269,0.3121,0.7904,0.0179,14656,35.98,0.0975,1
hier_fs,480,4,120,3,sub_0,196073,24174,1.1508,0.809,13.5658,0.0176,14656,312.99,0.089,1
hier_fs,480,4,120,3,sub_1,196073,24174,1.1508,0.5975,13.1116,0.022,14656,312.85,0.089,1
hier_fs,480,4,120,3,sub_2,196073,24174,1.1508,0.6484,13.6645,0.0222,14656,312.56,0.089,1
hier_fs,480,4,120,3,sub_3,196073,24174,1.1508,0.809,13.4845,0.0191,14656,313.09,0.089,1
hier_fs,480,4,120,3,glue,10109,1772,0.2269,0.2905,0.7841,0.0115,14656,35.84,0.089,1
hier_fs,480,8,60,1,sub_0,98723,11994,0.6402,0.8778,15.1272,0.0143,14656,159.59,0.1361,1
hier_fs,480,8,60,1,sub_1,98723,11994,0.6402,0.8148,15.1303,0.0144,14656,158.83,0.1361,1
hier_fs,480,8,60,1,sub_2,98723,11994,0.6402,1.0068,15.0673,0.0209,14656,159.46,0.1361,1
hier_fs,480,8,60,1,sub_3,98723,11994,0.6402,0.8324,14.8005,0.0212,14656,159.66,0.1361,1
hier_fs,480,8,60,1,sub_4,98723,11994,0.6402,0.8938,15.1797,0.0141,14656,159.18,0.1361,1
hier_fs,480,8,60,1,sub_5,98723,11994,0.6402,0.7609,14.8116,0.0119,14656,159.55,0.1361,1
hier_fs,480,8,60,1,sub_6,98723,11994,0.6402,0.7317,14.428,0.0117,14656,159.78,0.1361,1
hier_fs,480,8,60,1,sub_7,98723,11994,0.6402,0.786,14.9852,0.0115,14656,159.49,0.1361,1
hier_fs,480,8,60,1,glue,16353,2580,0.2596,0.5681,3.5313,0.0117,14656,41.41,0.1361,1
hier_fs,480,8,60,2,sub_0,98723,11994,0.6402,0.7609,15.023,0.015,14656,159.4,0.1369,1
hier_fs,480,8,60,2,sub_1,98723,11994,0.6402,0.8811,15.1927,0.0152,14656,159.28,0.1369,1
